crym,sido,sigungu,subject,slide,stmt_no,stmt
202502,경기도,수원시,카드소비자,1,1,"수원시 전체 인구의 일 평균 이용금액은 248.5억원이며, 주중은 249.0억원, 주말은 247.1억원입니다."
202502,경기도,수원시,카드소비자,1,2,수원시 외국인 인구의 일 평균 이용금액은 5.8억원입니다.
202502,경기도,수원시,카드소비자,2,1,"수원시 당월 내국인 카드 이용금액은 6795.0억원이며, 외국인 카드 이용금액은 163.0억입니다.
당월 내국인 매출액은 전월 대비 664.8억원 감소했으며, 외국인은 전월 대비 21.8억원 증가했습니다."
202502,경기도,수원시,카드소비자,2,2,"수원시 당원 내국인 카드 이용금액이 높은 업종 소분류는 일반의원이며, 외국인은 주차장입니다.\한편, 당월 내국인 카드 이용건수가 높은 업종 소분류는 편의점이며, 외국인도 편의점입니다."
202502,경기도,수원시,카드소비자,3,1,"수원시를 제외한 경기도민의 수원시 유입인구 중, 화성시 봉담읍에서 거주하는 사람들의 카드 이용금액이 가장 높았으며, 연령대별로는 미성년이 2715.3만원, 청년이 42.6억원, 중장년이 81.6억원, 노년이 14.3억원을 소비했습니다."
202502,경기도,수원시,카드소비자,3,2,"수원시에서 카드 사용액이 많았던 경기도 외 지역 거주자는 서울특별시 강남구 거주자로, 미성년은 484.5만원, 청년은 14.4억원, 중장년은 33.8억원, 노년은 6.4억원을 소비했습니다."
202502,경기도,수원시,카드소비자,4,1,"수원시로 유입된 경기도 내 거주자들의 이용 금액이 가장 높은 업종은 일반의원, 카드 이용건수가 많은 업종은 편의점입니다."
202502,경기도,수원시,카드소비자,4,2,"수원시로 유입된 경기도 외 거주자들의 이용 금액이 가장 높은 업종은 일반한식/백반, 카드 이용건수가 많은 업종은 편의점입니다."
202502,경기도,수원시,카드가맹점,1,1,"수원시 신규 가맹점 수는 1,391개이며, 전월 대비 신규 가맹점 수가 1,242개 감소했습니다.
수원시 휴/폐업 가맹점 수는 6.3만개미녀, 전월 대비 휴/폐업 가맨점 수가 1,295개 증가했습니다."
202502,경기도,수원시,카드가맹점,1,2,"수원시의 일반의원 소분류 업종은 09-11시간대에 181.0억원으로 최대 매출액을 기록했으며, 편의점 소분류 업종은 19-21시간대에 62.9만건으로 최다 매출건수를 기록했습니다."
202502,경기도,수원시,카드가맹점,2,1,"수원시 당월 요일별 매출액이 가장 높은 요일은 화요일이며, 매출액은 1171.6억원입니다. 당월과 전월 매출액 차이가 가장 큰 요일은 화요일이며, 당월 매출액은 전월 대비 111.8억원 증가했습니다."
202502,경기도,수원시,카드가맹점,2,2,"수원시 당월 요일별 매출건수가 가장 높은 요일은 화요일이며, 매출액은 363.3만건입니다. 당월과 전월 매출건수 차이가 가장 큰 요일은 화요일이며, 당월 매출건수는 전월 대비 14.2만건 증가했습니다."
202502,경기도,수원시,카드가맹점,2,3,"수원시 매출액 기준으로는 주중에 일반의원, 할인점, 주유소 업종이 상위권을 차지하며,주말에는 할인점, 일반한식/백반, 주유소 업종이 상위를 유지하는 경향이 보입니다.
매출건수 기준으로는 주중에 편의점, 커피전문점, 슈퍼마켓 업종이 매출건수 상위권을 차지하며, 주말에는 편의점, 커피전문점, 슈퍼마켓 업종이 상위를 유지하는 경향이 보입니다. 
"
202502,경기도,수원시,카드가맹점,3,1,"수원시는 신규 가맹점 상위권 소분류업종은 일반한식/백반, 커피전문점, 일반의류입니다. 휴/폐업을 많이 한 가맹점 상위권 소분류업종은 일반한식/백반, 일반의류, 커피전문점입니다."
202502,경기도,수원시,유동생활인구,1,1,수원시 일평균 유동인구 수는 37.1만명입니다. 
202502,경기도,수원시,유동생활인구,1,2,수원시 일평균 거주인구 수는 86.9만명입니다. 
202502,경기도,수원시,유동생활인구,1,3,수원시 일평균 직장인구 수는 26.5만명입니다. 
202502,경기도,수원시,유동생활인구,1,4,수원시 일평균 방문인구 수는 95.9만명입니다. 
202502,경기도,수원시,유동생활인구,2,1,"수원시 내국인 일평균 유동인구 수는 20~23시간대에 14.4만명으로 가장 많고, 외국인 일평균 유동인구 수는 20~23시에 5,597만명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,1,1,"수원시 유입인구 중 출근 목적으로 유입된 사람이 337명으로 가장 많고, 유출인구는 병원 목적으로 유출된 사람이 329명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,1,2,"수원시 유입인구 중 노선버스 수단을 이용해 유입된 사람이 521명으로 가장 많고, 유출인구는 노선버스 수단을 이용해 유출된 사람이 22.3만명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,2,1,"수원시 유입인구 중 출근 목적으로 화성시 봉담읍에서 유입된 사람이 4,331명으로 가장 많고, 유출인구는 출근 목적으로 화성시 반월동으로 유출된 사람이 5,276명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,2,2,"수원시 유입인구 중 노선버스 수단을 이용해 용인시 기흥구 영덕1동에서 유입된 사람이 3,257명으로 가장 많고, 유출인구는 노선버스 수단을 이용해 용인시 기흥구 영덕1동으로 유출된 사람이 3,218명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,3,1,"수원시 유입인구 중 출근 목적으로 유입된 사람이 5.1만명으로 가장 많고, 그 중 출근 수단을 이용해 유입된 사람들이 5.1만명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,3,2,"수원시 유입인구 중 출근 목적으로 유출된 사람이 6.7만명으로 가장 많고, 그 중 출근 수단을 이용해 유출된 사람들이 6.7만명으로 가장 많습니다."
202502,경기도,수원시,생활이동인구,4,1,"수원시 유입인구 중 출근 목적으로 유입된 사람이 가장 많고, 그 중 6시에 많이 유입된 것으로 확인됩니다.
수원시 유출인구 중 병원 목적으로 유출된 사람이 가장 많고, 그 중 8시에 많이 유출된 것으로 확인됩니다."
202502,경기도,수원시,생활이동인구,4,2,"수원시 유입인구 중 노선버스 수단을 이용해 유입된 사람이 가장 많고, 그 중 18시에 많이 유입된 것으로 확인됩니다.
수원시 유출인구 중 노선버스 수단을 이용해 유출된 사람이 가장 많고, 그 중 17시에 많이 유출된 것으로 확인됩니다."
202502,경기도,수원시,기업신용,1,1,"수원시 전체 기업 수는 3.3만개이며, 신설된 기업의 수는 106개, 폐업 된 기업 수는 92개입니다. 행정처분을 당한 기업의 수는 6개 이며 전월 대비 2개 증가했습니다."
202502,경기도,수원시,기업신용,2,1,"수원시에서 가장 신설을 많이 한 대분류 업종은 도매 및 소매업으로 25개가 신설되었으며, 가장 폐업을 많이 한 대분류 업종은 도매 및 소매업이며 47개가 폐업 되었습니다."
202502,경기도,수원시,기업신용,2,2,"수원시 업종대분류 별 전월 대비 기업 증감 수가 가장 높은 업종은 도매 및 소매업이며, 증감율이 가장 높은 업종은 전기, 가스, 증기 및 공기조절 공급업입니다."
202502,경기도,수원시,기업신용,3,1,"이번달 수원시에 존재하는 전출 기업을 대상으로, 관내 이동은 기존 행정동에서 원천동으로 34.6%로 가장 많았고, 관외 이동은 원천동에서 55.6%가 전출해 가장 높은 비율을 기록했습니다."
202502,경기도,수원시,개인신용,1,1,"수원시 소득인구는 90.7만명이고, 월 소득 평균은 3,317원입니다."
202502,경기도,수원시,개인신용,1,2,"대출자 수는 41.3만명, 평균 대출잔액은 7.6만원입니다."
202502,경기도,수원시,개인신용,1,3,"관내 통근인구는 27.3만명, 월 소득 평균은 3,851원입니다."
202502,경기도,수원시,개인신용,1,4,"관외 통근인구는 27.5만명이고, 월 소득 평균은 4,173원입니다."
202502,경기도,수원시,개인신용,2,1,"수원시에 거주하는 남성은 50대의 평균 소득이 5,383만원으로 가장 높으며, 여성은 40대의 평균 소득이 4,124만원으로 가장 높습니다."
202502,경기도,수원시,개인신용,2,2,"수원시에 거주하는 남성은 40대의 평균 부채가 1.5억원으로 가장 높으며, 여성은 30대의 평균 부채가 1.0억원으로 가장 높습니다."
202502,경기도,수원시,개인신용,3,1,"수원시에 거주하는 사람들의 소득 유형을 살펴보면 기타소득자가 가장 많고, 전월대비 소득자 수의 증감률이 증가한 유형은 무소득자입니다."
