frst_next_dstn_nm,dstn_coord_x,dstn_coord_y,vst_cnt,sum_stay_min,second_dstn_addr,second_dstn_x,second_dstn_y,영역 구분,목적지 구분
월영산출렁다리,127.50122731090528,36.10015034144786,190,29575.434232258573,충남 금산군 제원면 천내리 168-5,127.59592144827683,36.11478807284895,0,2차 목적지
금산종합체육관,127.50122731090528,36.10015034144786,118,15312.768858225108,충남 금산군 금산읍 상옥리 357,127.479132329821,36.1012568448252,0,2차 목적지
처음처럼,127.50122731090528,36.10015034144786,84,14502.395,충남 금산군 금산읍 신대리 485-3,127.50822726744805,36.10156594441826,0,2차 목적지
금산인삼약령시장,127.50122731090528,36.10015034144786,75,8603.810975609758,충남 금산군 금산읍 중도리 17-2,127.497346324678,36.1008293540744,0,2차 목적지
롯데백화점/대전점,127.50122731090528,36.10015034144786,74,9900.09,대전 서구 괴정동 423-1,127.389624974978,36.340653703926,0,2차 목적지
비하동삼일아파트노인정,127.50122731090528,36.10015034144786,74,10407.244217687075,충북 청주시 흥덕구 비하동 238-1,127.423344813858,36.6335326824418,0,2차 목적지
원골식당,127.50122731090528,36.10015034144786,73,11344.221709956708,충남 금산군 제원면 천내리 254-1,127.5911984385141,36.115183669356064,0,2차 목적지
만인산자연휴양림,127.50122731090528,36.10015034144786,70,10531.309218559218,대전 동구 하소동 460-2,127.45511076795763,36.20218059827905,0,2차 목적지
가마솥한우진곰탕,127.50122731090528,36.10015034144786,70,11329.208333333332,충남 금산군 추부면 추정리 290-4,127.472474568381,36.1807009066145,0,2차 목적지
삼거리닭집,127.50122731090528,36.10015034144786,70,10274.734042553191,충남 금산군 금산읍 상리 12-11,127.485003677324,36.1075993570383,0,2차 목적지
금산세계인삼엑스포,127.50122731090528,36.10015034144786,63,8425.712124060152,,,,0,2차 목적지
시골추어탕,127.50122731090528,36.10015034144786,62,8048.183484848485,,,,0,2차 목적지
칠백의총,127.50122731090528,36.10015034144786,61,8306.152307692308,,,,0,2차 목적지
무창포해수욕장,127.50122731090528,36.10015034144786,53,8192.2918699187,,,,0,2차 목적지
원일운수,127.50122731090528,36.10015034144786,48,6993.618604651163,,,,0,2차 목적지
그랜드모텔,127.49894033593864,36.10132456713775,48,16918.783333333333,,,,0,2차 목적지
현대프리미엄아울렛/대전점,127.50122731090528,36.10015034144786,47,6632.09393939394,,,,0,2차 목적지
에스비피,127.50122731090528,36.10015034144786,47,5348.2183760683765,,,,0,2차 목적지
금산원조김정이삼계탕,127.50122731090528,36.10015034144786,46,6533.0072222222225,,,,0,2차 목적지
카페요아정/대전한밭대점,127.50122731090528,36.10015034144786,46,6463.153333333335,,,,0,2차 목적지
365힐링의원,127.50122731090528,36.10015034144786,46,7137.450427350427,,,,0,2차 목적지
호텔나리스,127.50122731090528,36.10015034144786,44,5017.704504504503,,,,0,2차 목적지
영동난계국악축제,127.50122731090528,36.10015034144786,43,5163.140952380953,,,,0,2차 목적지
너구리의피난처,127.50122731090528,36.10015034144786,42,5707.637777777777,,,,0,2차 목적지
하늘물빛정원,127.50122731090528,36.10015034144786,42,7201.983333333334,,,,0,2차 목적지
대전YWCA성폭력가정폭력상담소,127.50122731090528,36.10015034144786,41,5047.496774193547,,,,0,2차 목적지
대둔산케이블카,127.50122731090528,36.10015034144786,41,5054.775,,,,0,2차 목적지
용수골황토사우나찜질방,127.50122731090528,36.10015034144786,40,6992.444444444443,,,,0,2차 목적지
핀스커피,127.50122731090528,36.10015034144786,39,4714.586842105263,,,,0,2차 목적지
선진건업,127.50122731090528,36.10015034144786,36,4419.67741935484,,,,0,2차 목적지
보은대추축제,127.50122731090528,36.10015034144786,36,4734.9198005698,,,,0,2차 목적지
금산수삼센터,127.50122731090528,36.10015034144786,35,4933.18888888889,,,,0,2차 목적지
흰털바위공원,127.50122731090528,36.10015034144786,33,4247.991379310345,,,,0,2차 목적지
보석사,127.50122731090528,36.10015034144786,31,4125.084259259259,,,,0,2차 목적지
예당호출렁다리,127.50122731090528,36.10015034144786,30,6709.160000000001,,,,0,2차 목적지
대전서구아트페스티벌,127.50122731090528,36.10015034144786,27,3994.670454545454,,,,0,2차 목적지
성심당케익부띠끄/롯데백화점대전점,127.50122731090528,36.10015034144786,26,2930.2000000000003,,,,0,2차 목적지
이화수전통육개장/충남금산점,127.50122731090528,36.10015034144786,26,4692.749122807017,,,,0,2차 목적지
계수약국,127.50122731090528,36.10015034144786,26,4966.04126984127,,,,0,2차 목적지
여울목카페,127.50122731090528,36.10015034144786,26,3584.3731481481473,,,,0,2차 목적지
마드모아젤/나성동1호점,127.50122731090528,36.10015034144786,26,3467.8453333333337,,,,0,2차 목적지
크레이지라이더,127.50122731090528,36.10015034144786,26,3733.2930555555554,,,,0,2차 목적지
금산관광농원,127.50122731090528,36.10015034144786,25,3866.684782608696,,,,0,2차 목적지
호텔리베라,127.50122731090528,36.10015034144786,25,2898.854166666666,,,,0,2차 목적지
금산세계인삼축제,127.49682863286772,36.1008166030129,25,2499.1166666666663,,,,0,2차 목적지
세화,127.50122731090528,36.10015034144786,25,2725.15873015873,,,,0,2차 목적지
코스트코홀세일/세종점,127.49682863286772,36.1008166030129,24,3597.828571428571,,,,0,2차 목적지
남촌가든,127.50122731090528,36.10015034144786,24,2951.1882352941175,,,,0,2차 목적지
황토집사람들/[한식],127.50122731090528,36.10015034144786,23,5236.851388888889,,,,0,2차 목적지
탑정호출렁다리,127.49682863286772,36.1008166030129,22,3096.5212500000002,,,,0,2차 목적지
유성온천공원,127.50122731090528,36.10015034144786,22,2647.0888888888894,,,,0,2차 목적지
소문난시골순대,127.50122731090528,36.10015034144786,22,3511.5259259259265,,,,0,2차 목적지
무주덕유산리조트,127.50122731090528,36.10015034144786,21,2653.1925,,,,0,2차 목적지
통영중앙전통시장,127.50122731090528,36.10015034144786,21,2546.7699999999995,,,,0,2차 목적지
장동코스모스축제,127.49682863286772,36.1008166030129,21,4214.323076923076,,,,0,2차 목적지
배나무집,127.49682863286772,36.1008166030129,20,2958.7749999999996,,,,0,2차 목적지
중부대학교/충청캠퍼스,127.50122731090528,36.10015034144786,20,2588.6499999999996,,,,0,2차 목적지
천하명당복권방/홍성점,127.50122731090528,36.10015034144786,20,2581.686274509804,,,,0,2차 목적지
봉이호떡,127.50122731090528,36.10015034144786,19,2958.0205882352943,,,,0,2차 목적지
현헤어,127.50122731090528,36.10015034144786,19,2592.2519607843133,,,,0,2차 목적지
사랑한다육,127.50122731090528,36.10015034144786,19,1718.3177777777778,,,,0,2차 목적지
금산역사문화박물관,127.50122731090528,36.10015034144786,18,2208.7333333333336,,,,0,2차 목적지
감악산꽃&별여행,127.50122731090528,36.10015034144786,18,2571.8142857142857,,,,0,2차 목적지
송어촌,127.50122731090528,36.10015034144786,18,1754.8411764705884,,,,0,2차 목적지
선희식당,127.49682863286772,36.1008166030129,18,2764.9208333333336,,,,0,2차 목적지
빽다방/대전낭월점,127.50122731090528,36.10015034144786,18,2865.0000000000005,,,,0,2차 목적지
하나로마트/금산농협비호점,127.50122731090528,36.10015034144786,18,1998.675,,,,0,2차 목적지
모다아울렛/천안아산점,127.50122731090528,36.10015034144786,17,2626.3229166666665,,,,0,2차 목적지
산내돌짜장면/[중식],127.49682863286772,36.1008166030129,17,3018.2083333333326,,,,0,2차 목적지
산꽃벚꽃마을오토캠핑장,127.50122731090528,36.10015034144786,17,3908.895238095238,,,,0,2차 목적지
뿌리공원,127.50122731090528,36.10015034144786,17,3407.6499999999996,,,,0,2차 목적지
옛터민속박물관,127.49682863286772,36.1008166030129,17,2856.756666666667,,,,0,2차 목적지
화정교회,127.50122731090528,36.10015034144786,17,2433.7726190476196,,,,0,2차 목적지
안성맞춤시장,127.50122731090528,36.10015034144786,17,2466.983333333333,,,,0,2차 목적지
흥남순대,127.50122731090528,36.10015034144786,16,2404.914285714286,,,,0,2차 목적지
쿠우쿠우/대전가수원점,127.50122731090528,36.10015034144786,16,2776.7555555555555,,,,0,2차 목적지
천안삼거리휴게소/서울방향 [경부선],127.50122731090528,36.10015034144786,16,1712.7822222222223,,,,0,2차 목적지
진산애행복누리센터,127.49682863286772,36.1008166030129,16,2097.1555555555556,,,,0,2차 목적지
원조남원골추어탕,127.50122731090528,36.10015034144786,16,1920.3833333333334,,,,0,2차 목적지
GS25/관저9단지점,127.50122731090528,36.10015034144786,15,2363.6964285714284,,,,0,2차 목적지
무주덕유산리조트곤돌라,127.50122731090528,36.10015034144786,15,2998.166666666667,,,,0,2차 목적지
이마트/천안점,127.50122731090528,36.10015034144786,15,2398.783333333333,,,,0,2차 목적지
선희식당,127.50122731090528,36.10015034144786,15,1374.5133333333333,,,,0,2차 목적지
원골유원지,127.50122731090528,36.10015034144786,14,1865.5583333333334,,,,0,2차 목적지
자운대쇼핑타운,127.50122731090528,36.10015034144786,14,1275.2428571428572,,,,0,2차 목적지
골목추어탕,127.50122731090528,36.10015034144786,14,2685.779166666667,,,,0,2차 목적지
GS25/쌍용주공점,127.50122731090528,36.10015034144786,14,2388.497222222222,,,,0,2차 목적지
만인산자연휴양림,127.49682863286772,36.1008166030129,14,2085.7809523809524,대전 동구 하소동 460-2,127.45511076795763,36.20218059827905,0,2차 목적지
진안인삼홍삼시장,127.49682863286772,36.1008166030129,14,2934.0370370370365,,,,0,2차 목적지
코스트코홀세일/대전점,127.50122731090528,36.10015034144786,13,2211.355555555556,,,,0,2차 목적지
금빛시장,127.50122731090528,36.10015034144786,13,1595.0566666666668,,,,0,2차 목적지
하늘물빛정원,127.49682863286772,36.1008166030129,13,1105.698148148148,,,,0,2차 목적지
강경젓갈시장,127.50122731090528,36.10015034144786,13,1974.2166666666667,,,,0,2차 목적지
진주남강유등축제,127.50122731090528,36.10015034144786,13,1969.6986111111107,,,,0,2차 목적지
청남가구단지,127.50122731090528,36.10015034144786,13,2594.1893939393935,,,,0,2차 목적지
황금코다리,127.50122731090528,36.10015034144786,12,1348.0444444444445,,,,0,2차 목적지
바로e마트/독곡점,127.50122731090528,36.10015034144786,12,1514.9666666666667,,,,0,2차 목적지
유성시장,127.50122731090528,36.10015034144786,12,1991.8333333333335,,,,0,2차 목적지
대둔산케이블카,127.49682863286772,36.1008166030129,12,1158.1604166666666,,,,0,2차 목적지
제이하브,127.50122731090528,36.10015034144786,12,2104.3500000000004,,,,0,2차 목적지
성심당/본점,127.50122731090528,36.10015034144786,12,989.1533333333333,,,,0,2차 목적지
옥천군농업기술센터,127.50122731090528,36.10015034144786,11,1494.1895833333333,,,,0,2차 목적지
용담섬바위오토캠핑장,127.50122731090528,36.10015034144786,11,2134.445238095237,,,,0,2차 목적지
송주미술관카페,127.50122731090528,36.10015034144786,11,1653.7033333333331,,,,0,2차 목적지
메가커피/금산점,127.50122731090528,36.10015034144786,11,1405.8183333333334,,,,0,2차 목적지
옥이네식당,127.50122731090528,36.10015034144786,11,1733.3962962962964,,,,0,2차 목적지
하나로마트/대전점,127.49682863286772,36.1008166030129,11,1317.4699999999998,,,,0,2차 목적지
