성별,연령대,구분,영역 구분,방문인구(명)
남성,10대,축제 기간,0,308.46
남성,10대,축제 기간,1000,883.64
남성,10대,축제 기간,3000,1398.19
남성,10대,축제 기간,500,580.8199999999999
남성,10대,축제 전,0,90.87
남성,10대,축제 전,1000,283.40999999999997
남성,10대,축제 전,3000,460.62
남성,10대,축제 전,500,176.31
남성,10세 이하,축제 기간,0,252.63
남성,10세 이하,축제 기간,1000,728.08
남성,10세 이하,축제 기간,3000,1231.26
남성,10세 이하,축제 기간,500,477.22
남성,10세 이하,축제 전,0,44.36
남성,10세 이하,축제 전,1000,138.96
남성,10세 이하,축제 전,3000,311.16
남성,10세 이하,축제 전,500,86.25
남성,20대,축제 기간,0,463.72
남성,20대,축제 기간,1000,1330.71
남성,20대,축제 기간,3000,2167.6
남성,20대,축제 기간,500,874.76
남성,20대,축제 전,0,243.9
남성,20대,축제 전,1000,770.6800000000001
남성,20대,축제 전,3000,1366.19
남성,20대,축제 전,500,478.43
남성,30대,축제 기간,0,539.32
남성,30대,축제 기간,1000,1552.46
남성,30대,축제 기간,3000,3005.6
남성,30대,축제 기간,500,1018.7900000000001
남성,30대,축제 전,0,285.95
남성,30대,축제 전,1000,905.44
남성,30대,축제 전,3000,1972.44
남성,30대,축제 전,500,561.29
남성,40대,축제 기간,0,837.23
남성,40대,축제 기간,1000,2417.12
남성,40대,축제 기간,3000,5109.05
남성,40대,축제 기간,500,1584.0
남성,40대,축제 전,0,397.6
남성,40대,축제 전,1000,1264.1100000000001
남성,40대,축제 전,3000,3054.7799999999997
남성,40대,축제 전,500,781.94
남성,50대,축제 기간,0,1205.78
남성,50대,축제 기간,1000,3482.01
남성,50대,축제 기간,3000,6140.57
남성,50대,축제 기간,500,2282.8
남성,50대,축제 전,0,583.38
남성,50대,축제 전,1000,1860.08
남성,50대,축제 전,3000,3597.17
남성,50대,축제 전,500,1150.72
남성,60대,축제 기간,0,1496.8899999999999
남성,60대,축제 기간,1000,4318.38
남성,60대,축제 기간,3000,6542.04
남성,60대,축제 기간,500,2834.0299999999997
남성,60대,축제 전,0,530.34
남성,60대,축제 전,1000,1686.7
남성,60대,축제 전,3000,2889.17
남성,60대,축제 전,500,1045.1
남성,70세 이상,축제 기간,0,1041.56
남성,70세 이상,축제 기간,1000,3005.32
남성,70세 이상,축제 기간,3000,4372.02
남성,70세 이상,축제 기간,500,1972.8600000000001
남성,70세 이상,축제 전,0,346.14
남성,70세 이상,축제 전,1000,1101.8
남성,70세 이상,축제 전,3000,1777.6399999999999
남성,70세 이상,축제 전,500,682.84
여성,10대,축제 기간,0,306.38
여성,10대,축제 기간,1000,877.11
여성,10대,축제 기간,3000,1342.97
여성,10대,축제 기간,500,576.76
여성,10대,축제 전,0,105.74000000000001
여성,10대,축제 전,1000,330.15999999999997
여성,10대,축제 전,3000,510.37
여성,10대,축제 전,500,205.24
여성,10세 이하,축제 기간,0,320.76
여성,10세 이하,축제 기간,1000,924.02
여성,10세 이하,축제 기간,3000,1560.24
여성,10세 이하,축제 기간,500,606.21
여성,10세 이하,축제 전,0,99.18
여성,10세 이하,축제 전,1000,313.26
여성,10세 이하,축제 전,3000,515.12
여성,10세 이하,축제 전,500,194.37
여성,20대,축제 기간,0,515.45
여성,20대,축제 기간,1000,1481.51
여성,20대,축제 기간,3000,2155.4
여성,20대,축제 기간,500,973.7
여성,20대,축제 전,0,165.26000000000002
여성,20대,축제 전,1000,519.91
여성,20대,축제 전,3000,833.24
여성,20대,축제 전,500,323.05
여성,30대,축제 기간,0,557.84
여성,30대,축제 기간,1000,1604.4
여성,30대,축제 기간,3000,2465.82
여성,30대,축제 기간,500,1053.81
여성,30대,축제 전,0,168.24
여성,30대,축제 전,1000,529.83
여성,30대,축제 전,3000,909.49
여성,30대,축제 전,500,328.68
여성,40대,축제 기간,0,739.22
여성,40대,축제 기간,1000,2129.82
여성,40대,축제 기간,3000,3365.47
여성,40대,축제 기간,500,1398.3
여성,40대,축제 전,0,244.27
여성,40대,축제 전,1000,771.61
여성,40대,축제 전,3000,1362.65
여성,40대,축제 전,500,479.04
여성,50대,축제 기간,0,1307.44
여성,50대,축제 기간,1000,3772.06
여성,50대,축제 기간,3000,5825.200000000001
여성,50대,축제 기간,500,2475.5
여성,50대,축제 전,0,429.25
여성,50대,축제 전,1000,1363.33
여성,50대,축제 전,3000,2357.58
여성,50대,축제 전,500,844.74
여성,60대,축제 기간,0,1517.42
여성,60대,축제 기간,1000,4378.35
여성,60대,축제 기간,3000,6589.08
여성,60대,축제 기간,500,2873.23
여성,60대,축제 전,0,410.72
여성,60대,축제 전,1000,1304.8
여성,60대,축제 전,3000,2261.65
여성,60대,축제 전,500,808.87
여성,70세 이상,축제 기간,0,1223.39
여성,70세 이상,축제 기간,1000,3530.49
여성,70세 이상,축제 기간,3000,5107.28
여성,70세 이상,축제 기간,500,2317.67
여성,70세 이상,축제 전,0,452.67
여성,70세 이상,축제 전,1000,1441.68
여성,70세 이상,축제 전,3000,2188.14
여성,70세 이상,축제 전,500,893.96
