업종명,이용금액,영역 구분
홍삼제품,197065145.99,0
인삼제품,117220229.99,0
일반한식,89069300.04,0
기타건강식,32425000.0,0
슈퍼마켓,31919759.98,0
한약방,14819502.99,0
기타숙박업,12540000.02,0
농축수산품,11108500.02,0
기타음료식품,10983750.0,0
주유소,10489841.01,0
홍삼제품,197185146.04,500
인삼제품,120715230.0,500
일반한식,118703909.02,500
슈퍼마켓,73739763.95,500
주유소,38095877.0,500
기타건강식,32425000.0,500
기타숙박업,15374999.979999999,500
한약방,14819502.99,500
약국,14798750.01,500
농축수산품,14147299.99,500
홍삼제품,197207546.0,1000
일반한식,172748679.02,1000
인삼제품,131553229.99,1000
슈퍼마켓,119325783.98,1000
주유소,63803826.99,1000
기타건강식,32574999.959999997,1000
편의점,24351300.0,1000
농축수산품,23598300.0,1000
서양음식,22681764.98,1000
스넥,19832130.03,1000
홍삼제품,199745646.03,3000
일반한식,193269678.99,3000
인삼제품,147231030.03,3000
슈퍼마켓,128379324.01,3000
주유소,108318656.03,3000
농축수산품,70697285.04,3000
기타건강식,45834999.96,3000
편의점,28794390.01,3000
서양음식,25403264.96,3000
스넥,20790630.02,3000
