INFLOW_SGG_CD,tot,관내/관외,SGG_CD,SGG_NM,SIDO_NM,영역 구분
44710,5834.05625,관내,44710,금산군,충청남도,0
30110,745.22375,관외,30110,동구,대전광역시,0
30170,726.2429166666667,관외,30170,서구,대전광역시,0
30140,622.0275,관외,30140,중구,대전광역시,0
30230,355.92291666666665,관외,30230,대덕구,대전광역시,0
30200,345.3833333333333,관외,30200,유성구,대전광역시,0
36110,177.64958333333334,관외,36110,세종특별자치시,세종특별자치시,0
52730,123.76708333333333,관외,52730,무주군,전북특별자치도,0
43730,92.89666666666668,관외,43730,옥천군,충청북도,0
44230,85.44500000000001,관내,44230,논산시,충청남도,0
48170,81.76208333333334,관외,48170,진주시,경상남도,0
43740,76.20083333333334,관외,43740,영동군,충청북도,0
44133,71.02000000000001,관내,44133,천안시 서북구,충청남도,0
43113,65.88333333333334,관외,43113,청주시 흥덕구,충청북도,0
44131,63.25083333333334,관내,44131,천안시 동남구,충청남도,0
52140,58.96958333333334,관외,52140,익산시,전북특별자치도,0
44200,57.05666666666667,관내,44200,아산시,충청남도,0
47190,55.07041666666667,관외,47190,구미시,경상북도,0
43112,52.88458333333334,관외,43112,청주시 서원구,충청북도,0
41220,49.23791666666667,관외,41220,평택시,경기도,0
27290,48.319583333333334,관외,27290,달서구,대구광역시,0
52111,46.79625,관외,52111,전주시 완산구,전북특별자치도,0
52113,45.11416666666667,관외,52113,전주시 덕진구,전북특별자치도,0
47150,44.25541666666667,관외,47150,김천시,경상북도,0
44150,43.41583333333334,관내,44150,공주시,충청남도,0
41590,42.92208333333334,관외,41590,화성시,경기도,0
43111,39.8725,관외,43111,청주시 상당구,충청북도,0
29170,39.59791666666667,관외,29170,북구,광주광역시,0
52720,36.49125,관외,52720,진안군,전북특별자치도,0
27230,34.055416666666666,관외,27230,북구,대구광역시,0
43114,33.2025,관외,43114,청주시 청원구,충청북도,0
52130,32.50958333333333,관외,52130,군산시,전북특별자치도,0
43770,32.32875000000001,관외,43770,음성군,충청북도,0
48310,30.266250000000003,관외,48310,거제시,경상남도,0
52710,29.31291666666667,관외,52710,완주군,전북특별자치도,0
44250,28.235833333333336,관내,44250,계룡시,충청남도,0
44810,28.068333333333335,관내,44810,예산군,충청남도,0
27140,26.650833333333335,관외,27140,동구,대구광역시,0
29140,25.759583333333335,관외,29140,서구,광주광역시,0
27170,25.535833333333336,관외,27170,서구,대구광역시,0
48240,25.222916666666666,관외,48240,사천시,경상남도,0
44270,24.843333333333337,관내,44270,당진시,충청남도,0
29200,24.835833333333337,관외,29200,광산구,광주광역시,0
44180,23.09,관내,44180,보령시,충청남도,0
44800,22.968750000000004,관내,44800,홍성군,충청남도,0
11620,22.354583333333334,관외,11620,관악구,서울특별시,0
27710,21.7875,관외,27710,달성군,대구광역시,0
48220,21.649583333333336,관외,48220,통영시,경상남도,0
11710,21.386666666666667,관외,11710,송파구,서울특별시,0
41360,21.060833333333335,관외,41360,남양주시,경기도,0
48880,20.593333333333334,관외,48880,거창군,경상남도,0
48250,20.0975,관외,48250,김해시,경상남도,0
46130,19.5425,관외,46130,여수시,전라남도,0
41610,18.87166666666667,관외,41610,광주시,경기도,0
48121,18.79791666666667,관외,48121,창원시 의창구,경상남도,0
47113,18.749166666666667,관외,47113,포항시 북구,경상북도,0
48125,18.703333333333333,관외,48125,창원시 마산합포구,경상남도,0
44760,18.467083333333335,관내,44760,부여군,충청남도,0
28260,18.27916666666667,관외,28260,서구,인천광역시,0
27260,18.072916666666668,관외,27260,수성구,대구광역시,0
46150,17.949583333333333,관외,46150,순천시,전라남도,0
41461,17.87875,관외,41461,용인시 처인구,경기도,0
44210,17.69,관내,44210,서산시,충청남도,0
41550,17.537916666666668,관외,41550,안성시,경기도,0
41113,17.297083333333333,관외,41113,수원시 권선구,경기도,0
28200,17.070833333333333,관외,28200,남동구,인천광역시,0
11380,16.960833333333333,관외,11380,은평구,서울특별시,0
41390,16.81875,관외,41390,시흥시,경기도,0
29155,16.781666666666666,관외,29155,남구,광주광역시,0
47111,16.767083333333336,관외,47111,포항시 남구,경상북도,0
41117,16.507916666666667,관외,41117,수원시 영통구,경기도,0
